NAME,Site_Name,distance_to_site_miles,ZIP,STATE,CITY,CNTY
LONGFELLOW ELEMENTARY,Fruit Avenue Plume,0.04573758284697423,87102,NM,ALBUQUERQUE,35001
Insight School of WA Open Doors Program,"Commencement Bay, South Tacoma Channel",0.05080917625617846,98409,WA,Tacoma,53053
Basin School,Basin Mining Area,0.059318622512047364,59631,MT,Basin,30043
Van Cleve Elementary School,East Troy Contaminated Aquifer,0.06630252679627542,45373,OH,Troy,39109
North Belmont Elementary,North Belmont PCE,0.06818298877802474,28012,NC,Belmont,37071
INES MARIA MENDOZA DE MUNOZ MARIN CABO ROJO,Cabo Rojo Ground Water Contamination,0.06967924756949663,623,PR,CABO ROJO,72023
Ravenswood High School,Ravenswood PCE Ground Water Plume,0.07312822885411048,26164,WV,Ravenswood,54035
Cove Day School,Lukachukai Mountains Mining District,0.07857227972065432,86544,AZ,Red Valley,4001
TAGOS Leadership Acad,Janesville Ash Beds,0.09198369577777679,53545,WI,Janesville,55105
Paden City High School,Paden City Groundwater,0.09531028079085804,26159,WV,Paden City,54103
Freeman High School,Grain Handling Facility at Freeman,0.09975619797081882,99030,WA,Rockford,53063
North Ward Elementary School,Rockwell International Corp. (Allegan Plant),0.10173565965621487,49010,MI,ALLEGAN,26005
West Chicago Comm High School,Kerr-McGee (Residential Areas),0.10408155708233312,60185,IL,West Chicago,17043
ABQ CHARTER ACADEMY,Fruit Avenue Plume,0.10798048462911251,87102,NM,ALBUQUERQUE,35001
Thomas Jefferson School #9,"Curcio Scrap Metal, Inc.",0.11245495696993343,7026,NJ,Garfield,34003
Ravenswood Middle School,Ravenswood PCE Ground Water Plume,0.11788102990865858,26164,WV,Ravenswood,54035
JUDITH A. VIVAS,"Papelera Puertorriquena, Inc.",0.11933490086512191,641,PR,UTUADO,72141
Freeman Middle School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063
Freeman Elementary School,Grain Handling Facility at Freeman,0.12556927666759984,99030,WA,Rockford,53063
LOLA RODRIGUEZ DE TIO,San German Ground Water Contamination,0.12862301591785813,683,PR,SAN GERMAN,72125
HOMEBOUND,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029
SCHOOL AGED PARENTING PROGRAM,Bandera Road Ground Water Plume,0.1324634762572362,78238,TX,SAN ANTONIO,48029
Jacques Memorial Elementary School,Fletcher's Paint Works & Storage,0.13467201207692917,3055,NH,Milford,33011
WOODMERE MIDDLE SCHOOL,Peninsula Boulevard Ground Water Plume,0.136149460675871,11557,NY,HEWLETT,36059
Wallace Stegner Academy,Portland Cement (Kiln Dust 2 & 3),0.13706602029425227,84104,UT,SALT LAKE CITY,49035
HILLSBOROUGH GIRLS ACADEMY,Peak Oil Co./Bay Drum Co.,0.1394580179865982,33619,FL,TAMPA,12057
Butler High School,Peach Orchard Road PCE Ground Water Plume,0.1396708654938087,30906,GA,Augusta,13245
JAMES FANNIN MIDDLE,Delfasco Forge,0.14117404360192726,75050,TX,GRAND PRAIRIE,48113
Cleveland Street Elementary School,Orange Valley Regional Ground Water Contamination,0.1446728728504231,7050,NJ,ORANGE,34013
Muskegon Montessori Academy for Environmental Change,Kaydon Corp.,0.14758391996040185,49441,MI,NORTON SHORES,26121
MONTGOMERY CO J J A E P,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339
PROJECT RESTORE,United Creosoting Co.,0.15494396091289023,77301,TX,CONROE,48339
Delair Elementary School,Puchack Well Field,0.1562560596155824,8110,NJ,DELAIR,34007
Chamberlain Elementary School,North 5th Street Groundwater Contamination,0.15673706484084277,46528,IN,Goshen,18039
Cleveland Street Elementary School,U.S. Radium Corp.,0.16227093481088412,7050,NJ,ORANGE,34013
AURORA CHARTER SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053
AURORA MIDDLE SCHOOL,South Minneapolis Residential Soil Contamination,0.16254235997016725,55404,MN,MINNEAPOLIS,27053
STEWART SCHOOL,Old Roosevelt Field Contaminated Ground Water Area,0.17557708241978812,11530,NY,GARDEN CITY,36059
BELLEVUE MISSION MIDDLE SCHOOL,PCE - Carriage Cleaners,0.17580701037120267,68005,NE,BELLEVUE,31153
Bob Holcomb Elementary,Newmark Ground Water Contamination,0.17755549703380805,92407,CA,San Bernardino,6071
Atwater Avenue Elementary,San Fernando Valley (Area 4),0.18064649186528967,90039,CA,Los Angeles,6037
GREAT RIVER SCHOOL,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123
Great River Elementary School,Koppers Coke,0.18295463105170096,55108,MN,SAINT PAUL,27123
RANDALL MIDDLE SCHOOL,Rosen Brothers Scrap Yard/Dump,0.1850947148714639,13045,NY,CORTLAND,36023
LINDSAY ATTENDANCE CENTER,Lindsay Manufacturing Co.,0.1857195760026175,68644,NE,LINDSAY,31141
Gibbsboro Elementary School,Sherwin-Williams/Hilliards Creek,0.18787039381289272,8026,NJ,GIBBSBORO,34007
NEW DAWN CHARTER HIGH SCHOOL,Gowanus Canal,0.18873616788637845,11217,NY,BROOKLYN,36047
Trinity School,Kerr-McGee (Residential Areas),0.18976575746954366,60185,IL,West Chicago,17043
JJAEP,United Creosoting Co.,0.19379095409167174,77301,TX,CONROE,48339
Lynnewood El Sch,Havertown PCP,0.19480431503492046,19083,PA,Havertown,42045
Elwood Haynes Elementary School,Kokomo Contaminated Ground Water Plume,0.1952543463685767,46901,IN,Kokomo,18067
LOGAN-ROGERSVILLE PRIMARY,Compass Plaza Well TCE,0.20362225626992542,65742,MO,ROGERSVILLE,29077
Roosevelt School #7,Garfield Ground Water Contamination,0.20438176647128628,7026,NJ,GARFIELD,34003
West Essex High School,Caldwell Trucking Co.,0.20439892834250223,7006,NJ,NORTH CALDWELL,34013
LANDING SCHOOL,"Mattiace Petrochemical Co., Inc.",0.2066060685744312,11542,NY,GLEN COVE,36059
